2026-08-22 05:54:20,124 | INFO | __main__ | Fetching ChEMBL activity data: offset=6500 limit=100
2026-08-22 05:54:20,883 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:20,884 | INFO | __main__ | Collected 6600 records / 26600
2026-08-22 05:54:21,085 | INFO | __main__ | Fetching ChEMBL activity data: offset=6600 limit=100
2026-08-22 05:54:21,844 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:21,846 | INFO | __main__ | Collected 6700 records / 26600
2026-08-22 05:54:22,046 | INFO | __main__ | Fetching ChEMBL activity data: offset=6700 limit=100
2026-08-22 05:54:22,654 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:22,655 | INFO | __main__ | Collected 6800 records / 26600
2026-08-22 05:54:22,855 | INFO | __main__ | Fetching ChEMBL activity data: offset=6800 limit=100
2026-08-22 05:54:23,443 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:23,444 | INFO | __main__ | Collected 6900 records / 26600
2026-08-22 05:54:23,645 | INFO | __main__ | Fetching ChEMBL activity data: offset=6900 limit=100
2026-08-22 05:54:24,601 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:24,601 | INFO | __main__ | Collected 7000 records / 26600
2026-08-22 05:54:24,802 | INFO | __main__ | Fetching ChEMBL activity data: offset=7000 limit=100
2026-08-22 05:54:25,291 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:25,293 | INFO | __main__ | Collected 7100 records / 26600
2026-08-22 05:54:25,493 | INFO | __main__ | Fetching ChEMBL activity data: offset=7100 limit=100
2026-08-22 05:54:26,073 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:26,075 | INFO | __main__ | Collected 7200 records / 26600
2026-08-22 05:54:26,275 | INFO | __main__ | Fetching ChEMBL activity data: offset=7200 limit=100
2026-08-22 05:54:27,202 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:27,204 | INFO | __main__ | Collected 7300 records / 26600
2026-08-22 05:54:27,405 | INFO | __main__ | Fetching ChEMBL activity data: offset=7300 limit=100
2026-08-22 05:54:28,515 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:28,516 | INFO | __main__ | Collected 7400 records / 26600
2026-08-22 05:54:28,716 | INFO | __main__ | Fetching ChEMBL activity data: offset=7400 limit=100
2026-08-22 05:54:29,685 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:29,686 | INFO | __main__ | Collected 7500 records / 26600
2026-08-22 05:54:29,886 | INFO | __main__ | Fetching ChEMBL activity data: offset=7500 limit=100
2026-08-22 05:54:30,533 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:30,534 | INFO | __main__ | Collected 7600 records / 26600
2026-08-22 05:54:30,735 | INFO | __main__ | Fetching ChEMBL activity data: offset=7600 limit=100
2026-08-22 05:54:31,491 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:31,492 | INFO | __main__ | Collected 7700 records / 26600
2026-08-22 05:54:31,692 | INFO | __main__ | Fetching ChEMBL activity data: offset=7700 limit=100
2026-08-22 05:54:32,432 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:32,434 | INFO | __main__ | Collected 7800 records / 26600
2026-08-22 05:54:32,634 | INFO | __main__ | Fetching ChEMBL activity data: offset=7800 limit=100
2026-08-22 05:54:33,470 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:33,471 | INFO | __main__ | Collected 7900 records / 26600
2026-08-22 05:54:33,672 | INFO | __main__ | Fetching ChEMBL activity data: offset=7900 limit=100
2026-08-22 05:54:36,124 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:36,125 | INFO | __main__ | Collected 8000 records / 26600
2026-08-22 05:54:36,326 | INFO | __main__ | Fetching ChEMBL activity data: offset=8000 limit=100
2026-08-22 05:54:36,910 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:36,912 | INFO | __main__ | Collected 8100 records / 26600
2026-08-22 05:54:37,112 | INFO | __main__ | Fetching ChEMBL activity data: offset=8100 limit=100
2026-08-22 05:54:37,828 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:37,829 | INFO | __main__ | Collected 8200 records / 26600
2026-08-22 05:54:38,030 | INFO | __main__ | Fetching ChEMBL activity data: offset=8200 limit=100
2026-08-22 05:54:38,936 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:38,938 | INFO | __main__ | Collected 8300 records / 26600
2026-08-22 05:54:39,139 | INFO | __main__ | Fetching ChEMBL activity data: offset=8300 limit=100
2026-08-22 05:54:39,725 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:39,727 | INFO | __main__ | Collected 8400 records / 26600
2026-08-22 05:54:39,928 | INFO | __main__ | Fetching ChEMBL activity data: offset=8400 limit=100
2026-08-22 05:54:40,682 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:40,683 | INFO | __main__ | Collected 8500 records / 26600
2026-08-22 05:54:40,884 | INFO | __main__ | Fetching ChEMBL activity data: offset=8500 limit=100
2026-08-22 05:54:41,491 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:41,492 | INFO | __main__ | Collected 8600 records / 26600
2026-08-22 05:54:41,693 | INFO | __main__ | Fetching ChEMBL activity data: offset=8600 limit=100
2026-08-22 05:54:42,245 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:42,246 | INFO | __main__ | Collected 8700 records / 26600
2026-08-22 05:54:42,447 | INFO | __main__ | Fetching ChEMBL activity data: offset=8700 limit=100
2026-08-22 05:54:43,682 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:43,682 | INFO | __main__ | Collected 8800 records / 26600
2026-08-22 05:54:43,883 | INFO | __main__ | Fetching ChEMBL activity data: offset=8800 limit=100
2026-08-22 05:54:44,687 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:44,688 | INFO | __main__ | Collected 8900 records / 26600
2026-08-22 05:54:44,889 | INFO | __main__ | Fetching ChEMBL activity data: offset=8900 limit=100
2026-08-22 05:54:45,989 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:45,991 | INFO | __main__ | Collected 9000 records / 26600
2026-08-22 05:54:46,192 | INFO | __main__ | Fetching ChEMBL activity data: offset=9000 limit=100
2026-08-22 05:54:46,975 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:46,976 | INFO | __main__ | Collected 9100 records / 26600
2026-08-22 05:54:47,177 | INFO | __main__ | Fetching ChEMBL activity data: offset=9100 limit=100
2026-08-22 05:54:47,804 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:47,805 | INFO | __main__ | Collected 9200 records / 26600
2026-08-22 05:54:48,007 | INFO | __main__ | Fetching ChEMBL activity data: offset=9200 limit=100
2026-08-22 05:54:48,723 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:48,725 | INFO | __main__ | Collected 9300 records / 26600
2026-08-22 05:54:48,925 | INFO | __main__ | Fetching ChEMBL activity data: offset=9300 limit=100
2026-08-22 05:54:49,875 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:49,876 | INFO | __main__ | Collected 9400 records / 26600
2026-08-22 05:54:50,077 | INFO | __main__ | Fetching ChEMBL activity data: offset=9400 limit=100
2026-08-22 05:54:50,921 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:50,922 | INFO | __main__ | Collected 9500 records / 26600
2026-08-22 05:54:51,123 | INFO | __main__ | Fetching ChEMBL activity data: offset=9500 limit=100
2026-08-22 05:54:52,598 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:52,600 | INFO | __main__ | Collected 9600 records / 26600
2026-08-22 05:54:52,800 | INFO | __main__ | Fetching ChEMBL activity data: offset=9600 limit=100
2026-08-22 05:54:53,615 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:53,617 | INFO | __main__ | Collected 9700 records / 26600
2026-08-22 05:54:53,817 | INFO | __main__ | Fetching ChEMBL activity data: offset=9700 limit=100
2026-08-22 05:54:54,454 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:54,455 | INFO | __main__ | Collected 9800 records / 26600
2026-08-22 05:54:54,656 | INFO | __main__ | Fetching ChEMBL activity data: offset=9800 limit=100
2026-08-22 05:54:55,218 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:55,220 | INFO | __main__ | Collected 9900 records / 26600
2026-08-22 05:54:55,420 | INFO | __main__ | Fetching ChEMBL activity data: offset=9900 limit=100
2026-08-22 05:54:57,048 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:57,049 | INFO | __main__ | Collected 10000 records / 26600
2026-08-22 05:54:57,250 | INFO | __main__ | Fetching ChEMBL activity data: offset=10000 limit=100
2026-08-22 05:54:57,959 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:57,961 | INFO | __main__ | Collected 10100 records / 26600
2026-08-22 05:54:58,161 | INFO | __main__ | Fetching ChEMBL activity data: offset=10100 limit=100
2026-08-22 05:54:59,769 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:54:59,770 | INFO | __main__ | Collected 10200 records / 26600
2026-08-22 05:54:59,971 | INFO | __main__ | Fetching ChEMBL activity data: offset=10200 limit=100
2026-08-22 05:55:00,844 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:00,846 | INFO | __main__ | Collected 10300 records / 26600
2026-08-22 05:55:01,046 | INFO | __main__ | Fetching ChEMBL activity data: offset=10300 limit=100
2026-08-22 05:55:01,654 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:01,655 | INFO | __main__ | Collected 10400 records / 26600
2026-08-22 05:55:01,856 | INFO | __main__ | Fetching ChEMBL activity data: offset=10400 limit=100
2026-08-22 05:55:03,173 | INFO | __main__ | ChEMBL response status: 200
2026-08-22 05:55:03,174 | INFO | __main__ | Collected 10500 records / 26600
