molecule_chembl_id,canonical_smiles,standard_value,pIC50,activity_label,activity_class
CHEMBL5878717,Cc1nc(F)ccc1[C@H](Nc1cc(C#N)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(N)=O)CC2)NN1,1.0,9.0,1,ACTIVE
CHEMBL5878812,COc1cc(-c2nc3sccn3c2-c2ccnc(NCCCNS(=O)(=O)c3ccc(F)cc3)n2)ccc1F,13.8,7.860120913598763,1,ACTIVE
CHEMBL5878820,CC(C)(C)OC(=O)N1CCC(N2C=C([C@@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)c3cncs3)NN2)CC1,153.0,6.815308569182401,1,ACTIVE
CHEMBL5878893,CC(C)(C)N1CCC(N2C=C([C@@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)c3cncs3)NN2)CC1,8.0,8.096910013008056,1,ACTIVE
CHEMBL5879065,C=CC(=O)N1CC(Nc2cncc(-c3cnc(Oc4cc(F)cc(F)c4)nc3)n2)C1,1080.0,5.96657624451305,0,INACTIVE
CHEMBL5879075,CC(C)(C)N1CCC(N2C=C([C@@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)c3cccc4c3CNC4)NN2)CC1,2.0,8.698970004336019,1,ACTIVE
CHEMBL5879127,CC(C)(C)CNc1c(C#N)cnc2c(C#N)cc(N[C@H](C3=CN(C4(C(F)(F)F)CC4)NN3)c3cccc4c3CNC4)cc12,3.0,8.522878745280337,1,ACTIVE
CHEMBL5879544,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,550.0,6.259637310505756,1,ACTIVE
CHEMBL5879790,C=CC(=O)N1CCC[C@@H](Sc2nc(Nc3cccc(OC)c3)ncc2F)C1,2000.0,5.698970004336019,0,INACTIVE
CHEMBL5879816,CC(C)(C)CNc1c(C#N)cnc2c(C#N)cc(N[C@H](C3=CN(C4(C)CC4)NN3)c3cccc4cnccc34)cc12,2.0,8.698970004336019,1,ACTIVE
CHEMBL5879850,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCC1C2CCC1CN(C)C2,0.8,9.096910013008056,1,ACTIVE
CHEMBL5879905,C[C@H]1[C@H](NC(=O)N(C)C)CCCN1c1cnc(C(N)=O)c(Nc2ccc(C3CCN(C4CCCC4)CC3)cc2)n1,10000.0,5.0,0,INACTIVE
CHEMBL5879923,COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1cnn(-c2ccccc2)c1,50.0,7.301029995663981,1,ACTIVE
CHEMBL5879924,COc1ccccc1C(=O)NCc1ccc(-c2nn([C@@H]3C[C@@H](O)C4CC43)c3ncnc(N)c23)cc1,550.0,6.259637310505756,1,ACTIVE
CHEMBL5880020,CCN1CCC(N2C=C([C@H](c3cscn3)N(CC)c3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)NN2)CC1,37.0,7.431798275933005,1,ACTIVE
CHEMBL5880248,CCN1Cc2cccc([C@H](Nc3cc(Cl)c4ncc(C#N)c(Nc5ccc(F)c(Cl)c5)c4c3)C3=CNNN3)c2C1,11.0,7.958607314841775,1,ACTIVE
CHEMBL5880562,COc1cc(F)ccc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@H]2CC[C@@H](O)CC2)ccn1,42.2,7.374687549038326,1,ACTIVE
CHEMBL5880574,C=CC(=O)N1CCC(Nc2cncc(-c3cnc(Nc4cccc(Cl)c4)nc3)c2)CC1,523.0,6.281498311132726,1,ACTIVE
CHEMBL5880754,C=CC(=O)Nc1cc(Nc2ncc(CC)c(-c3cn(CC(N)=O)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,200.0,6.698970004336019,1,ACTIVE
CHEMBL5880998,Cn1ccc2c([C@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C5CC5)CC4)NN3)cccc2c1=O,2.0,8.698970004336019,1,ACTIVE
CHEMBL5881155,CCOC(=O)C1=C(C(F)(F)F)NC2=C(C(=O)CC(C)(C)C2)C1c1ccc(S(=O)(=O)c2ccccc2)cc1,0.22,9.657577319177792,1,ACTIVE
CHEMBL5881164,C=CC(=O)N1CCC(Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OC)CC1,1.1,8.958607314841775,1,ACTIVE
CHEMBL5881183,COc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OC[C@H]1CN2CCOCC2CO1,50.0,7.301029995663981,1,ACTIVE
CHEMBL5881330,N#Cc1cnc2c(Cl)cc(N[C@H](C3=CNNN3)c3cccc4c3CNC4)cc2c1Nc1ccc(F)c(Cl)c1,6.0,8.221848749616356,1,ACTIVE
CHEMBL5881396,CC(C)N1C=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c2cnc(Cl)cc2Cl)NN1,80.0,7.096910013008056,1,ACTIVE
CHEMBL5881427,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(C)C)CC2)NN1,5.0,8.301029995663981,1,ACTIVE
CHEMBL5881569,C=CC(=O)Nc1cc(Nc2ncc(Cl)c(-c3c(C)nn(C)c3C)n2)c(OC)cc1N(C)CCN(C)C,110.0,6.958607314841775,1,ACTIVE
CHEMBL5881803,Cn1ccc2c([C@H](Nc3cc(C#N)c4ncc(C#N)c(NCC(C)(C)C)c4c3)C3=CN(C4(C(F)F)CC4)NN3)ccnc21,5.0,8.301029995663981,1,ACTIVE
CHEMBL5882082,CN(C)C/C=C/C(=O)N1CCOc2c1ccc1ncnc(Nc3ccc(Oc4cccc(F)c4)cc3)c21,50.0,7.301029995663981,1,ACTIVE
CHEMBL5882108,Cc1nc(F)ccc1[C@H](Nc1cc(F)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(F)(F)F)CC2)NN1,9.0,8.045757490560675,1,ACTIVE
CHEMBL5882138,COc1ccccc1C(=O)NCc1ccc(-c2nn([C@@H]3CCc4ccccc43)c3ncnc(N)c23)cc1,550.0,6.259637310505756,1,ACTIVE
CHEMBL5882302,COC1=C([C@@H](Nc2cc(Cl)c3ncc(C#N)c(NCC(C)(C)C)c3c2)c2ccc(F)nc2C)NNN1C1(C(F)F)CC1,4.0,8.397940008672037,1,ACTIVE
CHEMBL5882388,N#Cc1cnc2c(Cl)cc(N[C@H](C3=CNNN3)c3ccc4ncsc4c3)cc2c1Nc1ccc(F)c(Cl)c1,21.0,7.67778070526608,1,ACTIVE
CHEMBL5882437,Cc1cc(C(=O)/N=c2\[nH]c3ccccc3n2[C@@H]2C[C@H](O)C[C@H](O)C2)cc(-c2cnn(C)c2)n1,6451.85,5.190315738141345,0,INACTIVE
CHEMBL5882559,C=CC(=O)N1CCOc2ccc(Nc3nc(Nc4ccc(OCCOC)cc4)ncc3F)cc21,302.5,6.519274621011512,1,ACTIVE
CHEMBL5882592,CCc1ncccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(F)F)CC2)NN1,3.0,8.522878745280337,1,ACTIVE
CHEMBL5882616,Cc1cc(Nc2ncnc3cccc(OC45CCN(CC4)CC5)c23)ccc1Oc1ccn2ccnc2c1,3000.0,5.522878745280337,0,INACTIVE
CHEMBL5882926,C=CC(=O)Nc1cc(Nc2nccc(-c3ccc4oc(=O)n(C)c4c3)n2)c(OC)cc1N(C)CCN(C)C,25.0,7.602059991327962,1,ACTIVE
CHEMBL5883108,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(CO)CC2)NN1,3.0,8.522878745280337,1,ACTIVE
CHEMBL5883110,C=CC(=O)N1CCCC(Nc2nc3c(c(-c4cnn(C)c4)n2)C(=O)NC3)C1,10000.0,5.0,0,INACTIVE
CHEMBL5883280,CC(C)(O)COc1cnccc1-c1[nH]c2c(c1Nc1cccc(F)c1)C(=O)NCC2,0.1015,9.993533957750769,1,ACTIVE
CHEMBL5883623,O=C1c2cc(-c3ccc(N4CCNCC4)cc3)ccc2Nc2ccccc2N1Cc1ccccc1,250.0,6.6020599913279625,1,ACTIVE
CHEMBL5883659,C=CC(=O)Nc1cccc(Nc2ncc(F)c(Nc3cccc(C)c3)n2)c1,55.0,7.259637310505756,1,ACTIVE
CHEMBL5883660,C=CC(=O)Nc1cc(Nc2nc(-c3cnn(C)c3)c3c(Cl)c[nH]c3n2)c(OC)cc1N1CCN(C)CC1,525.5,6.279427279635739,1,ACTIVE
CHEMBL5883991,N#CCC[C@@H](Nc1c(C#N)cnc2c(Cl)cc(N[C@H](C3=CN(C4CC4)NN3)c3cccc4c3CNC4)cc12)c1ccccc1,3.5,8.455931955649724,1,ACTIVE
CHEMBL5884073,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1CN2CCOCC2CO1,50.0,7.301029995663981,1,ACTIVE
CHEMBL5884157,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OC(C)(C)CO)c(F)c3)ncc2F)c1,302.5,6.519274621011512,1,ACTIVE
CHEMBL5884300,Cc1nc(F)ccc1[C@H](Nc1cc(Cl)c2ncc(C#N)c(NCC(C)(C)C)c2c1)C1=CN(C2(C(=O)N3CCOCC3)CC2)NN1,7.0,8.154901959985743,1,ACTIVE
